permit_number,issue_date,permit_type,category,project_address,description,valuation,contractor,builder_permit_count,repeat_builder,source_report
2026 001203,2026-05-01,Residential,New Construction,3173 VIOLA CRES,DETACHED DWELLING WITH ATTACHED,305265.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 001201,2026-05-01,Residential,New Construction,3177 VIOLA CRES,DETACHED DWELLING WITH ATTACHED,305265.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 047088,2026-04-30,Residential,ADU,420 ROSEDALE AVE,(ADU) IN THE SECOND FLOOR OF NEWLY,353947.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 047087,2026-04-30,Residential,ADU,420 ROSEDALE AVE,(ADU) IN THE BASEMENT OF NEWLY,353947.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 014474,2026-04-27,Residential,New Construction,2182 DAYTONA AVE,DETACHED DWELLING WITH FRONT PORCH,532850.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 014473,2026-04-27,Residential,New Construction,2190 DAYTONA AVE,DETACHED DWELLING WITH FRONT PORCH,532850.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 050165,2026-04-24,Residential,ADU,ADUS,DWELLING WITH 1 ADDITIONAL DWELLING,615484.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 050021,2026-04-24,Residential,ADU,ADUS,DWELLING WITH 1 ADDITIONAL DWELLING,615484.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 011204,2026-04-15,Residential,New Construction,2405 PARTINGTON AVE,"DWELLING WITH ATTACHED GARAGE,",700000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 049497,2026-04-14,Residential,New Construction,285 GILES BLVD E - DECO LOFTS,TO CONSTRUCT FORTY-SIX(46) DWELLING,2000000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 051089,2026-04-08,Residential,New Construction,1848 NORTHWAY AVE,DETACHED DWELLING WITH ATTACHED,632069.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 048454,2026-04-08,Residential,New Construction,1854 NORTHWAY AVE,DETACHED DWELLING WITH ATTACHED,632069.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 008313,2026-04-07,Residential,ADU,684 BRIDGE AVE,DWELLING WITH SECONDARY/ADDITIONAL,300000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 046117,2026-04-01,Residential,New Construction,1158 BALSAMO CRT,"DWELLING WITH ATTACHED GARAGE,",1196019.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 002028,2026-03-27,Residential,ADU,UNIT,CONSTRUCT ADDITIONAL DWELLING UNIT,813105.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 001529,2026-03-27,Residential,New Construction,FRONTUNIT,DWELLING WITH FINISHED LOWER LEVEL,813105.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 050954,2026-03-26,Residential,New Construction,541 VANIER ST (UNIT 1),DWELLING WITH (2) LOWER LEVEL,387702.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 051088,2026-03-23,Residential,New Construction,1846 NORTHWAY AVE,DETACHED DWELLING WITH ATTACHED,632069.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 048453,2026-03-23,Residential,New Construction,1852 NORTHWAY AVE,DETACHED DWELLING WITH ATTACHED,632069.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 010611,2026-03-22,Residential,ADU,2969 LANGLOIS AVE,DETACHED ADDITIONAL DWELLING UNIT,251967.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 007263,2026-03-16,Residential,New Construction,1669 BETTS AVE,"DWELLING WITH ATTACHED GARAGE,",980400.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 007316,2026-03-13,Residential,New Construction,3277 BYNG RD,"DWELLING WITH ATTACHED GARAGE,",677816.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 044993,2026-03-13,Residential,ADU,1844 MEIGHEN RD - ADU #2,DWELLING WITH (2) ADDITIONAL DWELLING,321538.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 044992,2026-03-13,Residential,ADU,1844 MEIGHEN RD - BSMT ADU,DWELLING WITH (2) ADDITIONAL DWELLING,319158.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 044383,2026-03-13,Residential,New Construction,1844 MEIGHEN RD - MAIN,DWELLING WITH (2) ADDITIONAL DWELLING,321538.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 040761,2026-03-13,Residential,ADU,1010 BRUCE AVE,STOREY DETACHED ADDITIONAL,251458.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 009454,2026-03-03,Residential,New Construction,2969 LANGLOIS AVE,"DWELLING WITH ATTACHED GARAGE,",350000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 048570,2026-03-02,Residential,ADU,942 CAMPBELL AVE UNIT 2,CONSTRUCT ADDITIONAL DWELLING UNIT,382479.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 048569,2026-03-02,Residential,ADU,942 CAMPBELL AVE UNIT 3,CONSTRUCT ADDITIONAL DWELLING UNIT,382479.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 046389,2026-03-02,Residential,New Construction,942 CAMPBELL AVE UNIT 1,SINGLE FAMILY DWELLING WITH TWO,382479.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 054483,2026-02-18,Residential,New Construction,726 JOSEPHINE AVE,DWELLING WITH (1) FUTU RE ADDITION AL,900000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
